45,Jimmy Garoppolo,QB,SF,8.7,8.7,8.7,4,5,45,0.2,0.2,8,26,0.6,0,0,0,0.0
46,Jordan Love,QB,GB,8.5,8.5,8.5,4,6,44,0.3,0.2,8,38,0.3,0,0,0,0.0
47,Trevor Siemian,QB,CHI,7.6,7.6,7.6,4,6,42,0.2,0.1,8,39,0.3,0,0,0,0.0
48,Tim Boyle,QB,DET,7.6,7.6,7.6,4,6,40,0.2,0.2,7,36,0.3,0,0,0,0.0
49,Josh Johnson,QB,DEN,7.1,7.1,7.1,4,6,45,0.3,0.2,8,29,0.3,0,0,0,0.0
50,Gardner Minshew,QB,PHI,7.0,7.0,7.0,4,5,41,0.3,0.1,9,28,0.3,0,0,0,0.0
51,Chad Henne,QB,KC,6.9,6.9,6.9,4,6,46,0.3,0.2,7,20,0.3,0,0,0,0.0
52,Nick Foles,QB,IND,6.7,6.7,6.7,4,6,44,0.3,0.1,8,23,0.3,0,0,0,0.0
53,Colt McCoy,QB,ARI,6.7,6.7,6.7,4,6,49,0.3,0.1,8,29,0.2,0,0,0,0.0
54,Brandon Allen,QB,CIN,6.6,6.6,6.6,4,6,53,0.3,0.1,8,21,0.2,0,0,0,0.0
55,Case Keenum,QB,BUF,6.6,6.6,6.6,4,6,42,0.3,0.2,7,21,0.3,0,0,0,0.0
56,Cooper Rush,QB,DAL,6.3,6.3,6.3,5,7,52,0.3,0.2,7,19,0.3,0,0,0,0.0
57,Kyle Allen,QB,HOU,6.3,6.3,6.3,4,6,42,0.2,0.2,7,26,0.2,0,0,0,0.0
58,Joe Flacco,QB,NYJ,6.0,6.0,6.0,4,7,48,0.3,0.1,8,22,0.2,0,0,0,0.0
59,Brian Hoyer,QB,NE,5.9,5.9,5.9,4,6,46,0.3,0.1,8,21,0.2,0,0,0,0.0
60,John Wolford,QB,LAR,3.3,3.3,3.3,4,6,52,0.3,0.2,1,1,0.0,0,0,0,0.0
61,Tyler Huntley,QB,BAL,3.1,3.1,3.1,4,6,41,0.2,0.2,1,6,0.0,0,0,0,0.0
62,Chase Daniel,QB,LAC,3.1,3.1,3.1,4,6,47,0.3,0.2,1,1,0.0,0,0,0,0.0
63,Sean Mannion,QB,MIN,2.9,2.9,2.9,4,6,51,0.3,0.2,0,0,0.0,0,0,0,0.0
64,Jarrett Stidham,QB,LV,2.7,2.7,2.7,4,6,46,0.3,0.2,0,0,0.0,0,0,0,0.0
65,Logan Woodside,QB,TEN,2.6,2.6,2.6,4,6,42,0.3,0.1,1,1,0.0,0,0,0,0.0
66,C.J. Beathard,QB,JAC,2.4,2.4,2.4,4,6,41,0.3,0.2,1,1,0.0,0,0,0,0.0
67,Mason Rudolph,QB,PIT,0.5,0.5,0.5,0,0,2,0.0,0.0,1,3,0.0,0,0,0,0.0
68,Nick Mullens,QB,LV,0.4,0.4,0.4,0,0,3,0.0,0.0,0,2,0.0,0,0,0,0.0
69,Ian Book,QB,NO,0.4,0.4,0.4,0,0,2,0.0,0.0,1,1,0.0,0,0,0,0.0
70,Mike White,QB,NYJ,0.3,0.3,0.3,0,0,3,0.0,0.0,0,1,0.0,0,0,0,0.0
71,Brett Rypien,QB,DEN,0.2,0.2,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0
72,Nate Sudfeld,QB,SF,0.2,0.2,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0
73,Jake Browning,QB,CIN,0.2,0.2,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0
74,Shane Buechele,QB,KC,0.2,0.2,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0
75,Easton Stick,QB,LAC,0.2,0.2,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0
76,Bryce Perkins,QB,LAR,0.2,0.2,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0
77,Kyle Trask,QB,TB,0.2,0.2,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0
78,Trace McSorley,QB,ARI,0.2,0.2,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0
79,Kellen Mond,QB,MIN,0.2,0.2,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0
80,Skylar Thompson,QB,MIA,0.2,0.2,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0
81,Davis Webb,QB,NYG,0.2,0.2,0.2,0,0,2,0.0,0.0,0,0,0.0,0,0,0,0.0
82,Danny Etling,QB,GB,0.2,0.2,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0
83,Matt Barkley,QB,BUF,0.2,0.2,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0
84,Jacob Eason,QB,SEA,0.2,0.2,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0
85,Sam Ehlinger,QB,IND,0.2,0.2,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0
86,Carson Strong,QB,PHI,0.2,0.2,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0
87,Will Grier,QB,DAL,0.2,0.2,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0
88,Feleipe Franks,QB,ATL,0.2,0.2,0.2,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0
89,Bailey Zappe,QB,NE,0.1,0.1,0.1,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0
90,Jake Luton,QB,JAC,0.1,0.1,0.1,0,0,2,0.0,0.0,0,0,0.0,0,0,0,0.0
91,Malik Willis,QB,TEN,0.1,0.1,0.1,0,0,2,0.0,0.0,0,0,0.0,0,0,0,0.0
92,Jeff Driskel,QB,HOU,0.1,0.1,0.1,0,0,3,0.0,0.0,0,0,0.0,0,0,0,0.0
93,Nathan Peterman,QB,CHI,0.1,0.1,0.1,0,0,2,0.0,0.0,0,0,0.0,0,0,0,0.0
94,Brett Hundley,QB,BAL,0.1,0.1,0.1,0,0,2,0.0,0.0,0,0,0.0,0,0,0,0.0
